Latitude,Longitude,Magnitude
31.2841,141.7062,5.6
23.8865,121.5205,5
-19.1578,167.834,5.1
2.7089,127.8178,5.1
-31.0612,-177.6529,5
29.6583,130.3794,5.1
-10.8411,116.3414,5.1
19.1695,145.6204,5.2
23.129,142.5234,5.4
52.1008,156.8084,5
36.3989,140.8818,5
45.2784,147.157,5.2
-19.698,-176.4379,5.4
26.9226,-44.2516,5.1
27.0723,-44.4539,5.2
-57.4999,-25.8754,5.8
32.0765,131.733,5.2
5.017,93.3168,5.1
56.1884,164.2678,5.3
-30.6502,-178.7298,6
-29.7191,-71.2958,5.7
27.8355,86.0795,5
13.1055,-90.2094,5.3
14.7287,147.0441,5.2
21.5228,143.0884,5
-22.4517,-178.2033,5.2
-8.0603,149.553,5.5
0.4854,126.5894,5.8
-9.6935,28.6437,5.1
35.6473,31.2871,5
-7.3535,128.5973,5
-56.1134,-26.4808,5.1
-8.1634,123.04,5
13.7124,51.7823,5.7
21.952,146.6278,5.7
30.8186,131.0266,5.1
27.1054,143.6957,5.3
-5.6835,154.0431,5.2
-62.3587,-159.5136,5
51.6744,-175.1577,5.7
-26.9754,-176.2898,5.2
-3.7469,101.7758,5.1
-10.8968,163.8226,6.4
-26.3324,-177.8347,5.1
-6.8732,131.3416,5.1
21.1039,-45.8517,5.5
-26.0837,-177.0979,5.2
-27.0844,-176.0072,5.2
-27.315,-176.0525,5.7
-4.9539,140.1727,5
21.1441,-45.7866,5
42.6447,143.1818,5.2
37.2211,141.3681,5.1
14.0922,-91.3013,5.2
-32.8094,-178.2918,5.3
23.9689,122.4897,5.6
-3.9835,152.8909,5.6
-36.8531,78.3516,5.6
-37.0152,78.0623,6
-9.3293,157.8772,6.5
-9.3286,157.8422,5.6
-16.5413,-177.2523,5.2
-31.6968,-71.6227,5.5
-7.1256,129.1952,5.1
-19.1721,-176.2584,5.4
-27.0523,-176.2728,5.7
-5.5195,151.8217,5.4
-27.0812,-176.2405,5.5
36.5326,71.2147,5.9
-29.4727,-71.2415,5.2
-19.6389,-174.8533,5.6
41.8392,87.8492,5
-9.2998,157.9543,5.9
-9.3883,158.0626,5
-9.3438,158.0525,6.6
-9.3279,158.4832,5
52.2592,-168.6952,5.1
-27.199,-176.2756,5.1
-10.2538,165.0315,5.1
5.18,-82.6431,5.4
13.4771,120.5114,5
-27.4539,-176.2457,5.8
-13.9714,-14.4659,5.1
-13.9107,-14.4656,5
52.4441,-169.6166,5
-6.6793,152.0799,5.2
-16.4259,-173.1111,5
-16.7791,177.2962,5.3
-56.4071,-25.9558,5
-18.0441,-174.141,5.7
1.0467,-85.2705,5.6
1.0861,-85.2083,5.6
24.0263,-108.8003,5.2
24.1451,-108.5609,5.3
24.069,-108.9079,5.3
-2.0913,28.9515,5.5
-2.1412,28.8973,5.8
-26.4576,-178.2511,6
0.8122,-28.5361,5
-53.43,23.7482,5.1
1.0048,98.9226,5.1
36.4517,140.5954,5.2
-9.7758,115.9399,5.3
-22.0226,-174.4078,5
16.1408,-93.664,5.7
-27.2584,-175.7887,5.3
-11.1729,166.9444,5.2
4.6798,95.1216,5
-5.2339,152.6042,5.3
-16.4701,-174.3557,5.7
27.3983,65.9087,5.3
-10.7474,161.8994,5.4
37.7836,141.5287,5
18.394,146.6099,5.3
8.1761,123.8546,5.2
-48.2073,-9.8649,5.3
-30.0726,-68.282,5.2
-25.4093,154.1987,5.2
-25.343,154.3348,5.4
14.1304,-91.4205,5
-8.1731,118.3035,5.1
52.669,-169.75,5.1
30.0391,57.5809,5.2
51.9139,-169.4744,5
-22.5453,-174.3087,5
-56.9716,-140.9507,5.7
-27.0673,-176.2887,5.2
-27.0321,-176.0466,5.6
50.5581,-130.0918,5
-25.3727,154.2281,5.5
-10.8806,166.2386,5.4
52.0523,-169.355,5.2
59.8935,-153.1962,6.4
8.2309,-77.3152,5.9
52.2065,-169.4714,5.3
7.1396,-104.3907,5
-2.7681,122.3543,5.1
-5.384,151.9976,5.3
-2.6286,138.5277,7
52.2888,-169.4333,5
52.2564,-169.3455,5.7
52.4977,-169.7473,5.6
52.3581,-169.0816,5.5
52.2572,-169.3458,5.9
52.2594,-169.2785,5
52.2976,-169.3345,5.1
52.2335,-169.4231,5.4
52.208,-169.4223,5.7
52.0935,-169.2434,5.2
52.7811,-169.5781,5.9
52.376,-169.4458,6.9
-22.5497,-174.6183,5.1
-8.9989,158.5435,5.2
-18.222,-174.2417,5.1
-22.0347,-179.1999,5
-18.024,-174.0685,5.8
2.4605,126.0604,5
-9.2585,112.6695,5.9
13.1282,146.2059,5.1
61.9493,-152.0518,5.1
-2.6786,139.2155,5.1
-8.37,-75.71,5.2
-20.2963,-70.2472,5.3
-8.2477,108.9163,5.5
33.8564,73.1926,5.1
-10.2794,161.5893,5.1
36.703,26.8098,5.1
-62.189,162.9304,5
-10.273,164.9048,5.3
-14.9022,66.7901,5
37.0407,144.7235,5.1
-0.6942,-21.1776,5.5
5.0563,94.7158,5.2
-20.6647,-175.0273,5.2
-34.6166,54.6102,5.4
19.0777,96.2302,5
-35.5251,-105.0838,5.7
-34.8374,54.5832,5.4
-10.4231,165.3917,5
18.7989,120.9641,5.4
51.565,-176.7795,5.1
-10.6517,164.7763,5.1
30.4,94.8689,5.1
-10.3294,165.0984,5.1
-10.4012,165.1409,7
-13.5937,166.7655,5.1
-5.529,152.0598,5.2
-18.1214,-178.1887,5.8
-35.5031,-73.2219,5.2
13.4441,-92.053,5.1
-32.3201,-177.7736,5.2
11.6616,142.5796,5
9.1313,126.7559,5.3
-32.202,-177.8718,5.1
13.9409,-58.4376,5.1
13.8672,-58.5479,6.5
14.6091,146.9194,5.3
13.8769,-58.4736,5.7
-29.5,-71.8098,5
-26.7699,-176.2207,5.2
18.8249,145.1523,5
-15.6101,41.0503,5.2
27.3323,65.985,5.3
-7.3883,154.7473,5.1
30.8901,142.0087,5.1
-55.9972,-28.2656,5.3
11.9371,46.3703,5
33.0229,131.7493,5.5
-55.4146,-28.6559,5
2.9918,128.1869,5.5
-6.2313,130.7527,5
25.9708,128.3247,5
43.8887,148.0107,5.2
-4.9294,153.5988,5.2
-55.3598,-26.9221,5
-9.2417,158.1882,5.2
-9.307,158.403,6.7
40.3631,141.4646,5.5
-9.11,-75.83,5
13.2949,-90.244,5.6
-4.3107,153.3652,5
40.1226,142.6028,5.2
-18.6298,-177.1524,5.4
-59.4836,-29.0804,5.2
4.9946,94.7348,5.3
-22.9379,-177.1329,5.8
-13.7272,-111.639,5.3
-13.3864,-111.3022,5.7
-5.4916,152.3372,5.2
-13.329,-111.6323,5.9
-35.4058,-179.7237,5.6
-35.4246,-179.6208,5.6
43.9097,147.9748,6.3
-21.1456,-173.9854,5.1
-20.7139,-174.5001,5.8
-44.3916,169.7094,5.1
-56.6001,-142.1098,5.6
17.972,120.6844,5.2
-22.3792,171.7538,5.3
51.4283,-173.8221,5.2
-32.0184,-178.0285,5
-32.0882,-178.0356,5.3
53.0423,172.2894,5
-10.3022,152.0078,5
10.1691,125.8907,6.1
11.4234,95.032,5.5
37.4593,78.1542,6.4
-31.9551,-178.0273,5
-32.3054,-176.191,5
-5.9195,147.3155,5.2
-34.7042,-16.1836,5.2
34.4513,73.7102,5.3
-10.9911,162.5558,6
-60.322,-35.2706,5.3
-52.2069,159.5935,5.7
-32.3182,-177.8163,5.2
-21.2944,-174.1279,5.2
51.9477,177.2028,5.2
70.9823,-7.7137,5.3
-5.4513,151.5457,6
36.6802,71.3004,5.5
-16.0251,-74.2558,5.8
16.6829,-94.6273,5.4
-32.2259,-177.6195,5.1
19.335,-155.2093333,5.2
26.6384,90.41,5.1
29.0402,34.6672,5.5
-5.2625,153.2435,5.1
-49.0066,121.2976,5.4
-52.4812,-4.6995,5
53.5437,-163.7202,5
-32.1261,-177.9392,5
-32.0722,-178.3241,6
-16.2609,167.6614,5.1
-10.312,152.1337,5.4
-4.8075,133.9843,5.1
-6.1066,131.087,5.4
-21.5186,-173.7573,5.3
16.6416,-97.9861,5
61.6644,-151.9621,5.8
-35.1005,-179.282,5
41.8266,88.4781,5
-32.2776,-178.0534,5
27.6475,140.0686,5.6
27.707,139.7745,5.5
27.7375,139.7254,6.5
-19.5686,-175.0399,5.5
-21.7797,-68.1744,5.1
-20.4307,-178.3276,6
-23.5295,-177.0845,5.9
34.3082,26.2262,5
-59.6293,-26.5027,5.7
-36.3656,-73.7481,5.5
-36.3601,-73.812,6.4
26.9542,143.8264,5.3
21.7519,143.1192,5.1
-19.1355,169.6209,5.4
51.3062,178.8343,5
-35.3639,-17.1605,7
-20.3944,-179.0024,5.9
-9.4949,125.2122,5
4.1537,125.8447,5.7
-9.742,125.2517,5.8
-11.4131,163.3139,5
-0.2268,124.4263,5.1
-35.0536,-107.2483,5.1
-3.2325,143.8859,5.4
13.8112,120.6866,5
-24.5961,-176.159,5.5
56.5127,-156.473,5.2
14.0119,93.5776,5.2
6.2053,116.6814,5.3
-5.5183,152.0009,5.3
-15.6758,-173.0098,6
-20.792,-174.2104,5
8.0202,126.7287,5
12.9945,146.2829,5.3
29.794,131.4189,5.1
39.6101,143.2414,5.4
39.608,143.3457,5.7
39.672,143.331,5.7
-10.5215,120.7255,5.1
-3.6942,152.1739,5
-22.4,-68.4323,6
-18.2861,-178.0123,5
39.6795,143.319,5.8
35.04,26.79,5.4
74.5705,8.4145,5
-23.9408,-176.0816,5
-22.9992,-176.2239,5
-32.3433,-111.0652,5.1
-35.3695,-105.8146,5.4
38.62,23.39,5.3
-56.032,-143.8281,5.6
-15.1753,-173.004,5.3
13.0215,146.1496,5
-2.5201,68.0056,5.1
41.5615,142.0308,6.1
1.59,-90.8197,5
12.1588,144.0143,5.1
-2.2748,138.8773,5.2
-34.8726,-107.6523,5.4
-37.1708,78.1817,5.6
-28.8281,-176.0104,5
5.9867,116.5409,6
27.9568,142.9793,5
12.938,146.0787,5
-19.6353,-179.0702,5
-30.6724,-178.182,5
-16.8233,-14.205,5.1
51.259,-178.0391,5.1
44.4971,-129.9582,5.9
4.6521,95.5695,5
86.1076,31.685,5.2
44.5389,-129.6521,5.4
-6.0775,130.7012,5.1
44.1977,-129.8272,5.2
44.4584,-129.8114,5.8
51.2491,178.1564,5.1
-19.9421,-70.9093,5
-7.3677,154.8464,5
-4.7858,103.0184,5.3
38.4463,73.018,5.4
30.7856,142.9722,6.2
-15.7216,-173.3817,6
-0.4258,135.7124,5.1
27.8386,140.4931,7.8
44.82,150.034,5
1.22,-79.57,5.3
-47.3578,99.9237,5.9
56.594,-156.4301,6.8
-28.216,-70.649,5.2
-58.718,-25.2364,5.4
-58.7355,-25.2138,5.7
-58.6445,-25.1788,5.4
-0.3277,135.7341,5.8
-0.3871,135.7242,5.1
-22.057,-68.5076,5.6
-51.8469,139.2734,5.2
-35.2225,-104.2844,5.3
-25.7885,-175.9843,5.3
41.8504,135.3922,5.1
35.995,139.6134,5.1
-6.419,155.0034,5.4
-16.789,-14.2159,5.2
7.3442,-36.3917,5.2
-59.653,-26.4546,5.8
-19.3933,-175.9627,6.2
-16.855,-14.1708,6.3
-16.8041,-14.1759,5
-5.3925,131.1108,5
-4.7846,152.5914,5.9
-18.4587,-69.2062,5.1
-11.0787,163.2711,5.3
-11.2645,163.4432,5.1
-11.1093,163.2154,6.8
-11.0926,163.3808,5.1
-11.03,163.4873,5.3
-11.0559,163.6959,6.9
-20.1892,-70.8373,5.3
37.2925,-114.6546,5.3
28.6085,129.5308,5.3
-4.2085,142.2467,5.1
-7.9358,146.926,5
-9.8042,160.3336,5.7
-10.8495,163.6475,5
-10.9747,163.6863,5.1
-10.8759,164.1694,6.8
-3.0826,-77.5501,5.1
1.8239,126.3984,5.4
38.6418,70.1959,5.2
